action,date,ticker,signal_date,option_price,stock_price,delta,stock_position,strike,expiry,dte,entry_cost,rank,prediction,exit_reason,days_held,realized_pnl,exit_cost
enter,2010-01-22,GE,2010-01-21,0.81,16.11,0.532663,-53.2663,16.0,2010-03-20,57.0,82.0,1.0,0.0015906449,,,,
exit,2010-01-26,GE,,0.925,16.35,,,,,,,,,max_holding_days,3.0,-5.804109080000117,3.3261250800000006
enter,2010-07-20,JNJ,2010-07-19,1.745,58.58,0.661924,-66.19239999999999,57.5,2010-08-21,32.0,175.5,1.0,0.0010914337,,,,
exit,2010-07-22,JNJ,,0.8,57.02,,,,,,,,,max_holding_days,3.0,-30.75738469000021,3.83502469
enter,2012-01-19,MSFT,2012-01-18,0.745,28.12,0.540247,-54.0247,28.0,2012-02-18,30.0,75.5,1.0,0.0011264253,,,,
enter,2012-01-19,GOOGL,2012-01-18,23.5,639.57,0.516582,-51.6582,640.0,2012-02-18,30.0,2351.0,2.0,0.0010615718,,,,
exit,2012-01-20,MSFT,,0.65,29.71,,,,,,,,,stop_loss,2.0,-82.1614972795,2.9512862794999997
exit,2012-01-23,GOOGL,,19.200000000000003,585.52,,,,,,,,,max_holding_days,3.0,2344.2324387040044,54.72294129600001
enter,2012-01-27,CVX,2012-01-26,2.36,103.96,0.434492,-43.4492,105.0,2012-03-17,50.0,237.0,1.0,0.0020564664,,,,
exit,2012-01-31,CVX,,1.9249999999999998,103.12,,,,,,,,,max_holding_days,3.0,-18.176874264000425,6.823170264
enter,2012-04-17,IBM,2012-04-16,6.05,207.45,0.582594,-58.25939999999999,205.0,2012-05-19,32.0,606.0,1.0,0.001290638,,,,
exit,2012-04-19,IBM,,3.0999999999999996,199.51,,,,,,,,,max_holding_days,3.0,68.43268590949988,11.9157280905
enter,2012-05-17,WMT,2012-05-16,0.77,61.68,0.39641,-39.641,62.5,2012-06-16,30.0,78.0,1.0,0.0013369061,,,,
exit,2012-05-22,WMT,,0.9450000000000001,63.73,,,,,,,,,stop_loss,2.0,-63.582767534999896,4.086817535
enter,2012-07-18,IBM,2012-07-17,3.7,188.25,0.437011,-43.7011,190.0,2012-08-18,31.0,371.0,1.0,0.0014479458,,,,
exit,2012-07-19,IBM,,3.4000000000000004,195.34,,,,,,,,,stop_loss,2.0,-407.6099341020002,12.825180102000001
enter,2012-10-18,MSFT,2012-10-17,0.545,29.495,0.408875,-40.887499999999996,30.0,2012-11-17,30.0,55.50000000000001,1.0,0.0011764299,,,,
exit,2012-10-24,MSFT,,0.805,27.9019,,,,,,,,,max_holding_days,3.0,98.10617398150998,3.27007803849
enter,2012-11-02,CVX,2012-11-01,1.645,108.37,0.367236,-36.7236,110.0,2012-12-22,50.0,165.5,1.0,0.0011416338,,,,
exit,2012-11-06,CVX,,2.525,110.36,,,,,,,,,max_holding_days,3.0,-16.81480996999975,8.714724969999999
enter,2012-11-15,WMT,2012-11-14,2.07,68.72,0.63712,-63.712,67.5,2012-12-22,37.0,207.99999999999997,1.0,0.0010577049,,,,
exit,2012-11-19,WMT,,0.63,69.02,,,,,,,,,stop_loss,3.0,-157.85555499299988,3.4562649929999996
enter,2014-01-17,GE,2014-01-16,0.255,26.58,0.3319,-33.19,27.0,2014-02-22,36.0,26.5,1.0,0.0015418939,,,,
exit,2014-01-22,GE,,0.535,25.99,,,,,,,,,max_holding_days,3.0,55.0472302135,2.7257627865000003
enter,2014-01-27,AAPL,2014-01-24,23.675,550.5,0.505076,-50.5076,550.0,2014-03-22,54.0,2368.5,1.0,0.0022357367,,,,
exit,2014-01-29,AAPL,,16.4,500.75,,,,,,,,,max_holding_days,3.0,1693.1834552874998,46.2150697125
enter,2014-01-31,CVX,2014-01-30,3.05,111.63,0.580458,-58.0458,110.0,2014-03-22,50.0,306.0,1.0,0.001957234,,,,
exit,2014-02-03,CVX,,2.045,111.14,,,,,,,,,stop_loss,2.0,-84.69070221800023,7.763328218
enter,2014-02-20,WMT,2014-02-19,1.1549999999999998,73.52,0.488112,-48.8112,73.5,2014-03-28,36.0,116.49999999999999,1.0,0.002217345,,,,
exit,2014-02-24,WMT,,0.87,73.35,,,,,,,,,stop_loss,3.0,-25.235761954999905,4.391643954999999
enter,2014-04-15,JNJ,2014-04-14,1.8,99.2,0.508067,-50.806700000000006,99.0,2014-05-30,45.0,181.0,1.0,0.0019137822,,,,
exit,2014-04-17,JNJ,,1.5550000000000002,98.96,,,,,,,,,max_holding_days,3.0,-19.021776167999533,6.600160168
enter,2014-04-23,AAPL,2014-04-22,16.625,524.75,0.488482,-48.848200000000006,525.0,2014-06-21,59.0,1663.5,1.0,0.001822589,,,,
exit,2014-04-24,AAPL,,11.6,567.77,,,,,,,,,stop_loss,2.0,-2656.588592559499,38.1627985595
enter,2014-05-02,CVX,2014-05-01,1.78,124.72,0.44271,-44.271,125.0,2014-06-21,50.0,179.0,1.0,0.002097655,,,,
exit,2014-05-06,CVX,,1.775,124.97,,,,,,,,,max_holding_days,3.0,-19.192196142000007,7.377896141999999
enter,2014-05-15,WMT,2014-05-14,0.795,76.83,0.411877,-41.1877,77.5,2014-06-21,37.0,80.5,1.0,0.0020089298,,,,
exit,2014-05-19,WMT,,0.9,76.61,,,,,,,,,max_holding_days,3.0,15.898405450999945,4.528390549
enter,2014-07-15,JNJ,2014-07-14,1.645,103.28,0.516763,-51.6763,103.0,2014-08-22,38.0,165.5,1.0,0.0015160572,,,,
exit,2014-07-17,JNJ,,1.73,100.37,,,,,,,,,max_holding_days,3.0,160.02002972999983,7.19719027
enter,2014-07-22,MSFT,2014-07-21,1.3450000000000002,44.83,0.482346,-48.2346,45.0,2014-09-20,60.0,135.50000000000003,2.0,0.001156874,,,,
enter,2014-07-22,AAPL,2014-07-21,3.475,94.72,0.489378,-48.937799999999996,95.0,2014-09-20,60.0,348.5,1.0,0.0021758564,,,,
exit,2014-07-23,MSFT,,1.045,44.87,,,,,,,,,stop_loss,2.0,-36.05420152099999,4.155137521
exit,2014-07-23,AAPL,,2.13,97.19,,,,,,,,,stop_loss,2.0,-268.43930016149994,7.742801161499999
enter,2014-07-31,XOM,2014-07-30,1.525,98.94,0.393811,-39.3811,100.0,2014-09-20,51.0,153.5,1.0,0.0012876242,,,,
exit,2014-08-04,XOM,,1.95,100.13,,,,,,,,,max_holding_days,3.0,-20.429709720499886,7.2428267205
enter,2014-08-14,WMT,2014-08-13,1.02,74.39,0.487745,-48.774499999999996,74.5,2014-09-26,43.0,103.0,1.0,0.0025495663,,,,
exit,2014-08-18,WMT,,0.96,74.49,,,,,,,,,stop_loss,3.0,-15.83438937549972,4.7963993755
enter,2014-10-14,JNJ,2014-10-13,2.09,97.01,0.463239,-46.3239,97.5,2014-11-22,39.0,210.0,1.0,0.0030461904,,,,
exit,2014-10-16,JNJ,,2.4050000000000002,96.78,,,,,,,,,max_holding_days,3.0,34.68892078800023,8.207763212000001
enter,2014-10-20,AAPL,2014-10-17,3.075,99.76,0.493565,-49.3565,100.0,2014-11-22,33.0,308.5,2.0,0.0011730511,,,,
enter,2014-10-20,IBM,2014-10-17,3.05,169.1,0.450688,-45.068799999999996,170.0,2014-11-22,33.0,306.0,1.0,0.0011841673,,,,
exit,2014-10-21,AAPL,,2.4800000000000004,102.47,,,,,,,,,stop_loss,2.0,-211.90099373099963,8.677227731
exit,2014-10-22,IBM,,3.075,161.79,,,,,,,,,max_holding_days,3.0,327.4080945175001,10.8657904825
enter,2014-10-31,CVX,2014-10-30,2.61,119.95,0.462324,-46.2324,120.0,2014-12-20,50.0,262.0,2.0,0.0019948184,,,,
enter,2014-10-31,XOM,2014-10-30,1.37,96.71,0.431722,-43.1722,97.0,2014-12-05,35.0,138.0,1.0,0.0021742843,,,,
exit,2014-11-04,CVX,,2.875,115.37,,,,,,,,,max_holding_days,3.0,240.10793854199989,9.560805458
exit,2014-11-04,XOM,,1.75,94.52,,,,,,,,,max_holding_days,3.0,125.1085632199999,6.52050678
enter,2014-11-13,WMT,2014-11-12,1.355,82.94,0.481643,-48.1643,83.0,2014-12-26,43.0,136.5,1.0,0.0015536658,,,,
exit,2014-11-17,WMT,,1.045,83.57,,,,,,,,,stop_loss,3.0,-62.96150548049982,4.885806480499999
enter,2015-01-29,GOOGL,2015-01-28,17.75,513.23,0.503941,-50.394099999999995,515.0,2015-03-20,50.0,1776.0,1.0,0.0014080666,,,,
exit,2015-01-30,GOOGL,,14.55,537.55,,,,,,,,,stop_loss,2.0,-1616.6653413724964,43.9445733725
enter,2017-01-31,XOM,2017-01-30,1.1,83.89,0.447671,-44.7671,84.0,2017-03-03,31.0,111.00000000000001,1.0,0.0015413724,,,,
exit,2017-02-02,XOM,,1.19,83.45,,,,,,,,,max_holding_days,3.0,23.156486352499886,5.2171976475
enter,2017-08-01,AAPL,2017-07-31,4.65,150.05,0.497443,-49.7443,150.0,2017-09-15,45.0,466.00000000000006,1.0,0.0011329558,,,,
exit,2017-08-02,AAPL,,3.2750000000000004,157.14,,,,,,,,,stop_loss,2.0,-486.2782331419988,11.289979142
enter,2017-10-27,CVX,2017-10-26,1.375,113.54,0.366035,-36.6035,115.0,2017-12-15,49.0,138.5,1.0,0.0010791384,,,,
exit,2017-10-31,CVX,,1.5350000000000001,115.89,,,,,,,,,stop_loss,3.0,-104.7939299024997,6.8788549025000005
enter,2017-11-16,WMT,2017-11-15,1.8,99.62,0.462075,-46.2075,100.0,2017-12-22,36.0,181.0,1.0,0.001211986,,,,
exit,2017-11-20,WMT,,2.625,97.48,,,,,,,,,max_holding_days,3.0,180.19147752800006,8.672514472
enter,2018-10-25,GOOGL,2018-10-24,53.7,1103.59,0.534733,-53.4733,1102.5,2018-11-30,36.0,5371.0,1.0,0.0024286285,,,,
exit,2018-10-29,GOOGL,,52.25,1034.73,,,,,,,,,max_holding_days,3.0,3408.4895010014943,133.19915299849998
enter,2020-01-22,JNJ,2020-01-21,3.175,148.25,0.534398,-53.439800000000005,148.0,2020-02-21,30.0,318.5,1.0,0.0010657068,,,,
exit,2020-01-23,JNJ,,2.5999999999999996,148.53,,,,,,,,,stop_loss,2.0,-81.17288119750006,9.8628611975
enter,2020-04-14,JNJ,2020-04-13,5.75,146.03,0.511802,-51.1802,146.0,2020-05-29,45.0,576.0,1.0,0.0019428963,,,,
exit,2020-04-15,JNJ,,5.324999999999999,147.66,,,,,,,,,stop_loss,2.0,-140.14281124899983,15.376222248999998
enter,2020-10-28,GE,2020-10-27,0.45999999999999996,7.42,0.508231,-50.8231,7.5,2020-11-27,30.0,47.0,1.0,0.0010068417,,,,
exit,2020-10-30,GE,,0.49,7.42,,,,,,,,,max_holding_days,3.0,0.8307480770000026,2.169251923
enter,2022-04-28,AAPL,2022-04-27,7.800000000000001,163.64,0.49774,-49.774,165.0,2022-06-17,50.0,781.0000000000001,1.0,0.0010063984,,,,
exit,2022-05-02,AAPL,,6.625,157.96,,,,,,,,,max_holding_days,3.0,136.70128757999885,18.03543242
enter,2023-01-31,XOM,2023-01-30,3.85,116.01,0.504716,-50.4716,116.0,2023-03-10,38.0,386.0,1.0,0.0010889564,,,,
exit,2023-02-02,XOM,,3.8,111.15,,,,,,,,,max_holding_days,3.0,230.1174300724999,11.419191927499998
enter,2023-04-25,MSFT,2023-04-24,13.275,275.42,0.54114,-54.114,275.0,2023-06-16,52.0,1328.5,1.0,0.002088273,,,,
enter,2023-04-25,GOOGL,2023-04-24,4.575,103.85,0.530439,-53.0439,104.0,2023-05-26,31.0,458.5,2.0,0.0013520857,,,,
exit,2023-04-26,MSFT,,12.15,295.37,,,,,,,,,stop_loss,2.0,-1223.8266434189995,33.280513419
exit,2023-04-26,GOOGL,,3.6500000000000004,103.71,,,,,,,,,stop_loss,2.0,-96.20100818149996,11.005550181500002
enter,2023-05-04,AAPL,2023-05-03,7.425000000000001,165.79,0.550272,-55.0272,165.0,2023-06-16,43.0,743.5000000000001,1.0,0.0017843693,,,,
exit,2023-05-05,AAPL,,4.775,173.57,,,,,,,,,stop_loss,2.0,-662.0781875470002,14.814111547
enter,2023-07-25,MSFT,2023-07-24,17.025,350.98,0.549484,-54.9484,350.0,2023-09-15,52.0,1703.4999999999998,1.0,0.0013014469,,,,
exit,2023-07-27,MSFT,,13.35,330.72,,,,,,,,,max_holding_days,3.0,704.4711361439996,36.749259856
enter,2023-08-03,AAPL,2023-08-02,7.8,191.17,0.565202,-56.520199999999996,190.0,2023-09-15,43.0,781.0,1.0,0.00244309,,,,
exit,2023-08-07,AAPL,,4.925000000000001,178.85,,,,,,,,,max_holding_days,3.0,313.75847925499966,15.325488745000001
enter,2023-10-24,GOOGL,2023-10-23,5.8,138.81,0.532105,-53.2105,139.0,2023-11-24,31.0,581.0,1.0,0.0016529346,,,,
enter,2023-10-24,MSFT,2023-10-23,15.575,330.53,0.545309,-54.5309,330.0,2023-12-15,52.0,1558.5,2.0,0.001294883,,,,
exit,2023-10-25,MSFT,,14.350000000000001,340.67,,,,,,,,,stop_loss,2.0,-716.3629725970021,39.020424597
exit,2023-10-26,GOOGL,,7.25,122.28,,,,,,,,,max_holding_days,3.0,1136.5987860620003,19.238814937999997
enter,2024-02-01,AAPL,2024-01-31,7.425000000000001,186.86,0.583383,-58.3383,185.0,2024-03-15,43.0,743.5000000000001,1.0,0.0026278934,,,,
exit,2024-02-05,AAPL,,4.225,187.68,,,,,,,,,stop_loss,3.0,-371.9121239039998,13.810331903999998
enter,2024-04-23,GE,2024-04-22,6.6,162.62,0.498832,-49.8832,165.0,2024-06-21,59.0,661.0,1.0,0.0011482872,,,,
exit,2024-04-25,GE,,8.075,161.26,,,,,,,,,max_holding_days,3.0,204.25165661700078,21.807519383
enter,2024-05-02,AAPL,2024-05-01,6.15,173.03,0.494818,-49.4818,175.0,2024-06-21,50.0,616.0,1.0,0.0014626244,,,,
exit,2024-05-03,AAPL,,4.875,183.38,,,,,,,,,stop_loss,2.0,-650.0128894349998,15.243864435
enter,2024-07-30,MSFT,2024-07-29,19.325,422.92,0.524686,-52.468599999999995,425.0,2024-09-20,52.0,1933.5,1.0,0.001015434,,,,
exit,2024-07-31,MSFT,,14.9,418.35,,,,,,,,,stop_loss,2.0,-244.79451433000025,41.76068633
enter,2024-10-31,AAPL,2024-10-30,10.8,225.91,0.556057,-55.6057,225.0,2024-12-20,50.0,1081.0,1.0,0.0015365975,,,,
exit,2024-11-01,AAPL,,7.3,222.91,,,,,,,,,stop_loss,2.0,-221.83653764100012,21.147137641
